% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S11,im:Trc2_S11,
1.000000000000000E+008,5.505764575302854E-001,-1.517605027248062E-002,5.505764575302854E-001,-1.517605027248062E-002,
1.020931412693436E+008,5.505472718706925E-001,-1.531032362290111E-002,5.505472718706925E-001,-1.531032362290111E-002,
1.042300949424215E+008,5.503351752855581E-001,-1.542601064509936E-002,5.503351752855581E-001,-1.542601064509936E-002,
1.064117780747374E+008,5.503499110879979E-001,-1.574899139513572E-002,5.503499110879979E-001,-1.574899139513572E-002,
1.086391269170620E+008,5.502792550405957E-001,-1.605300835781110E-002,5.502792550405957E-001,-1.605300835781110E-002,
1.109130973172177E+008,5.503120833356209E-001,-1.618880937462383E-002,5.503120833356209E-001,-1.618880937462383E-002,
1.132346651302716E+008,5.502494339661060E-001,-1.635439899415313E-002,5.502494339661060E-001,-1.635439899415313E-002,
1.156048266373163E+008,5.501168252971243E-001,-1.688516795427646E-002,5.501168252971243E-001,-1.688516795427646E-002,
1.180245989730151E+008,5.501835810969596E-001,-1.706593480741210E-002,5.501835810969596E-001,-1.706593480741210E-002,
1.204950205620966E+008,5.499664196968757E-001,-1.735682291971747E-002,5.499664196968757E-001,-1.735682291971747E-002,
1.230171515649859E+008,5.500425217709251E-001,-1.737689960683992E-002,5.500425217709251E-001,-1.737689960683992E-002,
1.255920743327636E+008,5.499833001396028E-001,-1.792617386705062E-002,5.499833001396028E-001,-1.792617386705062E-002,
1.282208938716474E+008,5.498858245258427E-001,-1.788536661737052E-002,5.498858245258427E-001,-1.788536661737052E-002,
1.309047383171961E+008,5.499693628106415E-001,-1.841320614730986E-002,5.499693628106415E-001,-1.841320614730986E-002,
1.336447594184396E+008,5.499019334862293E-001,-1.873852051361135E-002,5.499019334862293E-001,-1.873852051361135E-002,
1.364421330321420E+008,5.499517925935682E-001,-1.897697201919897E-002,5.499517925935682E-001,-1.897697201919897E-002,
1.392980596274105E+008,5.498445758312208E-001,-1.934539230445646E-002,5.498445758312208E-001,-1.934539230445646E-002,
1.422137648008667E+008,5.498449733941274E-001,-1.938003627158834E-002,5.498449733941274E-001,-1.938003627158834E-002,
1.451904998026009E+008,5.497202022361551E-001,-1.985813699953152E-002,5.497202022361551E-001,-1.985813699953152E-002,
1.482295420731354E+008,5.497642122026122E-001,-2.016368768588599E-002,5.497642122026122E-001,-2.016368768588599E-002,
1.513321957916272E+008,5.496968445030407E-001,-2.046475975130576E-002,5.496968445030407E-001,-2.046475975130576E-002,
1.544997924355456E+008,5.496831528229587E-001,-2.094503767363447E-002,5.496831528229587E-001,-2.094503767363447E-002,
1.577336913520643E+008,5.496929685938972E-001,-2.128034881287447E-002,5.496929685938972E-001,-2.128034881287447E-002,
1.610352803414134E+008,5.495594241906077E-001,-2.155551020130168E-002,5.495594241906077E-001,-2.155551020130168E-002,
1.644059762524427E+008,5.495195359515902E-001,-2.185736485461863E-002,5.495195359515902E-001,-2.185736485461863E-002,
1.678472255906498E+008,5.495490661387661E-001,-2.233405470857922E-002,5.495490661387661E-001,-2.233405470857922E-002,
1.713605051389360E+008,5.494339318434939E-001,-2.256260151266802E-002,5.494339318434939E-001,-2.256260151266802E-002,
1.749473225913547E+008,5.494174639041917E-001,-2.298125431463373E-002,5.494174639041917E-001,-2.298125431463373E-002,
1.786092172001261E+008,5.493284232880608E-001,-2.332492313405651E-002,5.493284232880608E-001,-2.332492313405651E-002,
