% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S11,im:Trc2_S11,
1.000000000000000E+008,8.133899640718971E-001,-1.836171446709877E-002,8.133899640718971E-001,-1.836171446709877E-002,
1.020931412693436E+008,8.135641405636103E-001,-1.857155896622757E-002,8.135641405636103E-001,-1.857155896622757E-002,
1.042300949424215E+008,8.133513445868110E-001,-1.904320536481483E-002,8.133513445868110E-001,-1.904320536481483E-002,
1.064117780747374E+008,8.135364051753282E-001,-1.953899394376399E-002,8.135364051753282E-001,-1.953899394376399E-002,
1.086391269170620E+008,8.133134765102716E-001,-1.998638612005092E-002,8.133134765102716E-001,-1.998638612005092E-002,
1.109130973172177E+008,8.133995810505500E-001,-2.018998271593488E-002,8.133995810505500E-001,-2.018998271593488E-002,
1.132346651302716E+008,8.133895361995120E-001,-2.060079901440480E-002,8.133895361995120E-001,-2.060079901440480E-002,
1.156048266373163E+008,8.133284521280100E-001,-2.127463120691944E-002,8.133284521280100E-001,-2.127463120691944E-002,
1.180245989730151E+008,8.133514079415017E-001,-2.157631242529948E-002,8.133514079415017E-001,-2.157631242529948E-002,
1.204950205620966E+008,8.133000675813307E-001,-2.202247148472412E-002,8.133000675813307E-001,-2.202247148472412E-002,
1.230171515649859E+008,8.131909014724298E-001,-2.227865502892908E-002,8.131909014724298E-001,-2.227865502892908E-002,
1.255920743327636E+008,8.132174497989847E-001,-2.301365319920120E-002,8.132174497989847E-001,-2.301365319920120E-002,
1.282208938716474E+008,8.131684858308597E-001,-2.315005913651595E-002,8.131684858308597E-001,-2.315005913651595E-002,
1.309047383171961E+008,8.133341312597987E-001,-2.378996327957771E-002,8.133341312597987E-001,-2.378996327957771E-002,
1.336447594184396E+008,8.132201843350817E-001,-2.426220249340777E-002,8.132201843350817E-001,-2.426220249340777E-002,
1.364421330321420E+008,8.133491562549219E-001,-2.479182025029660E-002,8.133491562549219E-001,-2.479182025029660E-002,
1.392980596274105E+008,8.133133701380383E-001,-2.522395625232335E-002,8.133133701380383E-001,-2.522395625232335E-002,
1.422137648008667E+008,8.131273784206513E-001,-2.561066652248735E-002,8.131273784206513E-001,-2.561066652248735E-002,
1.451904998026009E+008,8.131655109262292E-001,-2.625942875633801E-002,8.131655109262292E-001,-2.625942875633801E-002,
1.482295420731354E+008,8.130696817453699E-001,-2.679352606788443E-002,8.130696817453699E-001,-2.679352606788443E-002,
1.513321957916272E+008,8.130956325185962E-001,-2.719260237022344E-002,8.130956325185962E-001,-2.719260237022344E-002,
