% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S11,im:Trc2_S11,
1.000000000000000E+008,4.490463861487747E-001,-1.340797702367699E-002,4.490463861487747E-001,-1.340797702367699E-002,
1.020931412693436E+008,4.487285877712758E-001,-1.353438785665186E-002,4.487285877712758E-001,-1.353438785665186E-002,
1.042300949424215E+008,4.487112815093453E-001,-1.368168842677526E-002,4.487112815093453E-001,-1.368168842677526E-002,
1.064117780747374E+008,4.486452410398639E-001,-1.395329675468537E-002,4.486452410398639E-001,-1.395329675468537E-002,
1.086391269170620E+008,4.486442882237521E-001,-1.421473510943954E-002,4.486442882237521E-001,-1.421473510943954E-002,
1.109130973172177E+008,4.485321525453695E-001,-1.426497081188635E-002,4.485321525453695E-001,-1.426497081188635E-002,
1.132346651302716E+008,4.485547908876680E-001,-1.432307645639790E-002,4.485547908876680E-001,-1.432307645639790E-002,
1.156048266373163E+008,4.484674680007043E-001,-1.477255356548357E-002,4.484674680007043E-001,-1.477255356548357E-002,
1.180245989730151E+008,4.483948348626108E-001,-1.491744890227802E-002,4.483948348626108E-001,-1.491744890227802E-002,
1.204950205620966E+008,4.483281070424380E-001,-1.517904237551428E-002,4.483281070424380E-001,-1.517904237551428E-002,
1.230171515649859E+008,4.483036593811169E-001,-1.512975335414603E-002,4.483036593811169E-001,-1.512975335414603E-002,
1.255920743327636E+008,4.483170401564247E-001,-1.560891597285789E-002,4.483170401564247E-001,-1.560891597285789E-002,
1.282208938716474E+008,4.482214425063411E-001,-1.556542966301727E-002,4.482214425063411E-001,-1.556542966301727E-002,
1.309047383171961E+008,4.483145918202058E-001,-1.591239160431969E-002,4.483145918202058E-001,-1.591239160431969E-002,
1.336447594184396E+008,4.482738296968783E-001,-1.628482226188288E-002,4.482738296968783E-001,-1.628482226188288E-002,
1.364421330321420E+008,4.482860051569157E-001,-1.632469417047077E-002,4.482860051569157E-001,-1.632469417047077E-002,
1.392980596274105E+008,4.481749830922322E-001,-1.662385998138298E-002,4.481749830922322E-001,-1.662385998138298E-002,
1.422137648008667E+008,4.481715060723186E-001,-1.667752485738418E-002,4.481715060723186E-001,-1.667752485738418E-002,
1.451904998026009E+008,4.481201123673929E-001,-1.711289860860090E-002,4.481201123673929E-001,-1.711289860860090E-002,
1.482295420731354E+008,4.481094280480620E-001,-1.730137390258534E-002,4.481094280480620E-001,-1.730137390258534E-002,
1.513321957916272E+008,4.481321845195460E-001,-1.740716522840488E-002,4.481321845195460E-001,-1.740716522840488E-002,
1.544997924355456E+008,4.480263385185185E-001,-1.792317180457820E-002,4.480263385185185E-001,-1.792317180457820E-002,
