% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S11,im:Trc2_S11,
1.000000000000000E+008,6.709802458817382E-001,-1.684784596545452E-002,6.709802458817382E-001,-1.684784596545452E-002,
1.020931412693436E+008,6.709079938772886E-001,-1.697312081384331E-002,6.709079938772886E-001,-1.697312081384331E-002,
1.042300949424215E+008,6.707857184486585E-001,-1.726102841996042E-002,6.707857184486585E-001,-1.726102841996042E-002,
1.064117780747374E+008,6.708969226507048E-001,-1.775002101219611E-002,6.708969226507048E-001,-1.775002101219611E-002,
1.086391269170620E+008,6.707046453274776E-001,-1.826102080383406E-002,6.707046453274776E-001,-1.826102080383406E-002,
1.109130973172177E+008,6.707156521524862E-001,-1.823490441906557E-002,6.707156521524862E-001,-1.823490441906557E-002,
1.132346651302716E+008,6.706041385285745E-001,-1.850248657169676E-002,6.706041385285745E-001,-1.850248657169676E-002,
1.156048266373163E+008,6.705516877220803E-001,-1.906739047705906E-002,6.705516877220803E-001,-1.906739047705906E-002,
1.180245989730151E+008,6.706225300602537E-001,-1.932511038880255E-002,6.706225300602537E-001,-1.932511038880255E-002,
1.204950205620966E+008,6.704570733627232E-001,-1.969890115022447E-002,6.704570733627232E-001,-1.969890115022447E-002,
1.230171515649859E+008,6.704769894084603E-001,-1.970307919970785E-002,6.704769894084603E-001,-1.970307919970785E-002,
1.255920743327636E+008,6.705083020334819E-001,-2.044695184714659E-002,6.705083020334819E-001,-2.044695184714659E-002,
1.282208938716474E+008,6.704360557045966E-001,-2.048211114179109E-002,6.704360557045966E-001,-2.048211114179109E-002,
1.309047383171961E+008,6.704302787102320E-001,-2.107899466915358E-002,6.704302787102320E-001,-2.107899466915358E-002,
1.336447594184396E+008,6.704910457522917E-001,-2.150754274618402E-002,6.704910457522917E-001,-2.150754274618402E-002,
1.364421330321420E+008,6.705187832866459E-001,-2.159098251898879E-002,6.705187832866459E-001,-2.159098251898879E-002,
1.392980596274105E+008,6.704635497442537E-001,-2.218009480178023E-002,6.704635497442537E-001,-2.218009480178023E-002,
1.422137648008667E+008,6.703776155523248E-001,-2.235666415383223E-002,6.703776155523248E-001,-2.235666415383223E-002,
1.451904998026009E+008,6.703259405337461E-001,-2.303055937281615E-002,6.703259405337461E-001,-2.303055937281615E-002,
1.482295420731354E+008,6.703538634429617E-001,-2.340192954598603E-002,6.703538634429617E-001,-2.340192954598603E-002,
1.513321957916272E+008,6.703165244809819E-001,-2.368952408221056E-002,6.703165244809819E-001,-2.368952408221056E-002,
1.544997924355456E+008,6.702201292760627E-001,-2.438232436214257E-002,6.702201292760627E-001,-2.438232436214257E-002,
1.577336913520643E+008,6.701624334665348E-001,-2.475973965556861E-002,6.701624334665348E-001,-2.475973965556861E-002,
1.610352803414134E+008,6.701929814048806E-001,-2.509903724098787E-002,6.701929814048806E-001,-2.509903724098787E-002,
1.644059762524427E+008,6.700704630418988E-001,-2.554324171442896E-002,6.700704630418988E-001,-2.554324171442896E-002,
1.678472255906498E+008,6.700469468983107E-001,-2.612526859743444E-002,6.700469468983107E-001,-2.612526859743444E-002,
1.713605051389360E+008,6.699580520545152E-001,-2.644245289312454E-002,6.699580520545152E-001,-2.644245289312454E-002,
1.749473225913547E+008,6.699127875168953E-001,-2.691468667016708E-002,6.699127875168953E-001,-2.691468667016708E-002,
1.786092172001261E+008,6.697264418125921E-001,-2.739950228806782E-002,6.697264418125921E-001,-2.739950228806782E-002,
1.823477604361935E+008,6.698403679396470E-001,-2.758796885101896E-002,6.698403679396470E-001,-2.758796885101896E-002,
1.861645566636073E+008,6.697336636415955E-001,-2.836844411192564E-002,6.697336636415955E-001,-2.836844411192564E-002,
1.900612438280239E+008,6.696221608635995E-001,-2.885425666046483E-002,6.696221608635995E-001,-2.885425666046483E-002,
1.940394941596160E+008,6.695323660534658E-001,-2.926406018400510E-002,6.695323660534658E-001,-2.926406018400510E-002,
1.981010148906965E+008,6.694362722003485E-001,-2.982847475015771E-002,6.694362722003485E-001,-2.982847475015771E-002,
2.022475489883622E+008,6.694091804946014E-001,-3.034018558950884E-002,6.694091804946014E-001,-3.034018558950884E-002,
2.064808759024735E+008,6.693189494181402E-001,-3.090303797467794E-002,6.693189494181402E-001,-3.090303797467794E-002,
2.108028123292904E+008,6.691929492436647E-001,-3.149375184041439E-002,6.691929492436647E-001,-3.149375184041439E-002,
2.152152129910917E+008,6.690970110385770E-001,-3.213471252393750E-002,6.690970110385770E-001,-3.213471252393750E-002,
2.197199714321140E+008,6.690277887588447E-001,-3.277430073774973E-002,6.690277887588447E-001,-3.277430073774973E-002,
2.243190208311496E+008,6.690323652300916E-001,-3.335164154142785E-002,6.690323652300916E-001,-3.335164154142785E-002,
2.290143348311539E+008,6.688897209849367E-001,-3.397913843300743E-002,6.688897209849367E-001,-3.397913843300743E-002,
2.338079283862175E+008,6.688433490436080E-001,-3.454770879156462E-002,6.688433490436080E-001,-3.454770879156462E-002,
2.387018586262668E+008,6.687036049167301E-001,-3.535533034875064E-002,6.687036049167301E-001,-3.535533034875064E-002,
2.436982257398635E+008,6.686340102931305E-001,-3.601180728323021E-002,6.686340102931305E-001,-3.601180728323021E-002,
2.487991738754827E+008,6.685355655739369E-001,-3.672701863735673E-002,6.685355655739369E-001,-3.672701863735673E-002,
2.540068920616564E+008,6.684517396527178E-001,-3.741519814726201E-002,6.684517396527178E-001,-3.741519814726201E-002,
2.593236151463760E+008,6.683646970332402E-001,-3.821250505758640E-002,6.683646970332402E-001,-3.821250505758640E-002,
2.647516247561587E+008,6.682939743183868E-001,-3.895683805629655E-002,6.682939743183868E-001,-3.895683805629655E-002,
2.702932502751876E+008,6.682056845334603E-001,-3.985548063128641E-002,6.682056845334603E-001,-3.985548063128641E-002,
2.759508698449477E+008,6.680830859614397E-001,-4.056539161412599E-002,6.680830859614397E-001,-4.056539161412599E-002,
2.817269113847850E+008,6.679943407116393E-001,-4.149084106721945E-002,6.679943407116393E-001,-4.149084106721945E-002,
2.876238536338270E+008,6.678766795546742E-001,-4.228870988983711E-002,6.678766795546742E-001,-4.228870988983711E-002,
2.936442272147132E+008,6.678088326142305E-001,-4.298585055618882E-002,6.678088326142305E-001,-4.298585055618882E-002,
2.997906157195895E+008,6.677616835789291E-001,-4.390516275540470E-002,6.677616835789291E-001,-4.390516275540470E-002,
3.060656568188355E+008,6.676979591724559E-001,-4.472651417493262E-002,6.676979591724559E-001,-4.472651417493262E-002,
3.124720433929982E+008,6.675912853099880E-001,-4.560832586560683E-002,6.675912853099880E-001,-4.560832586560683E-002,
3.190125246884183E+008,6.674740125922596E-001,-4.650632029691669E-002,6.674740125922596E-001,-4.650632029691669E-002,
3.256899074970465E+008,6.675233027550265E-001,-4.741596619938822E-002,6.675233027550265E-001,-4.741596619938822E-002,
3.325070573609542E+008,6.673378371177452E-001,-4.827279244316314E-002,6.673378371177452E-001,-4.827279244316314E-002,
3.394668998020564E+008,6.672563422738077E-001,-4.921501173564297E-002,6.672563422738077E-001,-4.921501173564297E-002,
3.465724215775746E+008,6.671360442836698E-001,-5.013651103800140E-002,6.671360442836698E-001,-5.013651103800140E-002,
3.538266719617783E+008,6.670230490543574E-001,-5.110116919104088E-002,6.670230490543574E-001,-5.110116919104088E-002,
3.612327640545553E+008,6.668935449448223E-001,-5.209415626382334E-002,6.668935449448223E-001,-5.209415626382334E-002,
3.687938761173719E+008,6.667360220641763E-001,-5.310879160034662E-002,6.667360220641763E-001,-5.310879160034662E-002,
3.765132529371966E+008,6.665679910616835E-001,-5.406830752313073E-002,6.665679910616835E-001,-5.406830752313073E-002,
3.843942072189731E+008,6.664094599468315E-001,-5.511267536996901E-002,6.664094599468315E-001,-5.511267536996901E-002,
3.924401210072396E+008,6.662394393520570E-001,-5.617219136112559E-002,6.662394393520570E-001,-5.617219136112559E-002,
4.006544471375042E+008,6.660615231604046E-001,-5.725002111238511E-002,6.660615231604046E-001,-5.725002111238511E-002,
4.090407107179998E+008,6.658982206078826E-001,-5.845358971895797E-002,6.658982206078826E-001,-5.845358971895797E-002,
4.176025106424546E+008,6.657320968946057E-001,-5.970943670860292E-002,6.657320968946057E-001,-5.970943670860292E-002,
4.263435211345269E+008,6.655023895674846E-001,-6.098412222830602E-002,6.655023895674846E-001,-6.098412222830602E-002,
4.352674933245664E+008,6.653087331508323E-001,-6.224353159327173E-002,6.653087331508323E-001,-6.224353159327173E-002,
4.443782568593804E+008,6.650318690277177E-001,-6.345384213856740E-002,6.650318690277177E-001,-6.345384213856740E-002,
4.536797215456938E+008,6.648155618114842E-001,-6.477697712350315E-002,6.648155618114842E-001,-6.477697712350315E-002,
4.631758790280099E+008,6.646870798990403E-001,-6.605605029924225E-002,6.646870798990403E-001,-6.605605029924225E-002,
4.728708045015902E+008,6.645036746509236E-001,-6.743682755674241E-002,6.645036746509236E-001,-6.743682755674241E-002,
4.827686584612901E+008,6.642813232417767E-001,-6.881689136307843E-002,6.642813232417767E-001,-6.881689136307843E-002,
4.928736884869999E+008,6.642516669602203E-001,-7.020463258855231E-002,6.642516669602203E-001,-7.020463258855231E-002,
5.031902310664573E+008,6.641648530579880E-001,-7.160845903377741E-002,6.641648530579880E-001,-7.160845903377741E-002,
5.137227134562149E+008,6.639698862116813E-001,-7.302966289886685E-002,6.639698862116813E-001,-7.302966289886685E-002,
5.244756555815587E+008,6.636504423746703E-001,-7.444012725029384E-002,6.636504423746703E-001,-7.444012725029384E-002,
5.354536719761968E+008,6.633646606572781E-001,-7.586069856107607E-002,6.633646606572781E-001,-7.586069856107607E-002,
5.466614737625463E+008,6.631330413235379E-001,-7.732347427355721E-002,6.631330413235379E-001,-7.732347427355721E-002,
5.581038706734722E+008,6.628689468055147E-001,-7.884961245241598E-002,6.628689468055147E-001,-7.884961245241598E-002,
5.697857731163427E+008,6.626657665551758E-001,-8.036631626707713E-002,6.626657665551758E-001,-8.036631626707713E-002,
5.817121942802894E+008,6.624807215422572E-001,-8.198463376603493E-002,6.624807215422572E-001,-8.198463376603493E-002,
5.938882522875744E+008,6.620211744477580E-001,-8.378909536691753E-002,6.620211744477580E-001,-8.378909536691753E-002,
6.063191723899891E+008,6.615404609797609E-001,-8.534148152295620E-002,6.615404609797609E-001,-8.534148152295620E-002,
6.190102892112266E+008,6.610379862595476E-001,-8.701340209601978E-002,6.610379862595476E-001,-8.701340209601978E-002,
6.319670490361900E+008,6.606089762574465E-001,-8.880059520259009E-002,6.606089762574465E-001,-8.880059520259009E-002,
6.451950121482195E+008,6.602884979866308E-001,-9.076480092112949E-002,6.602884979866308E-001,-9.076480092112949E-002,
6.586998552152404E+008,6.600742530109385E-001,-9.293693857291446E-002,6.600742530109385E-001,-9.293693857291446E-002,
6.724873737258571E+008,6.598017438315935E-001,-9.460377193618608E-002,6.598017438315935E-001,-9.460377193618608E-002,
6.865634844764381E+008,6.593687534868804E-001,-9.631063329062412E-002,6.593687534868804E-001,-9.631063329062412E-002,
7.009342281102579E+008,6.589911173900299E-001,-9.819593358836135E-002,6.589911173900299E-001,-9.819593358836135E-002,
7.156057717097888E+008,6.586455180449656E-001,-1.001555700513683E-001,6.586455180449656E-001,-1.001555700513683E-001,
7.305844114432513E+008,6.584454511049753E-001,-1.023094186466557E-001,6.584454511049753E-001,-1.023094186466557E-001,
7.458765752665610E+008,6.580395926211251E-001,-1.044624014694730E-001,6.580395926211251E-001,-1.044624014694730E-001,
7.614888256818322E+008,6.570987473737404E-001,-1.064391622310465E-001,6.570987473737404E-001,-1.064391622310465E-001,
7.774278625536187E+008,6.563931731352456E-001,-1.081939766202996E-001,6.563931731352456E-001,-1.081939766202996E-001,
7.937005259841044E+008,6.556950220881000E-001,-1.104238897648625E-001,6.556950220881000E-001,-1.104238897648625E-001,
8.103137992484750E+008,6.551443310910738E-001,-1.128670596510637E-001,6.551443310910738E-001,-1.128670596510637E-001,
8.272748117917309E+008,6.547244192327403E-001,-1.152935444366345E-001,6.547244192327403E-001,-1.152935444366345E-001,
8.445908422882283E+008,6.540512452436742E-001,-1.177433187013795E-001,6.540512452436742E-001,-1.177433187013795E-001,
8.622693217652600E+008,6.535010640303698E-001,-1.198775907477053E-001,6.535010640303698E-001,-1.198775907477053E-001,
8.803178367920179E+008,6.530458829537422E-001,-1.222116758711561E-001,6.530458829537422E-001,-1.222116758711561E-001,
8.987441327353046E+008,6.526872396146453E-001,-1.246131000995916E-001,6.526872396146453E-001,-1.246131000995916E-001,
9.175561170833916E+008,6.517725502060479E-001,-1.269409034943229E-001,6.517725502060479E-001,-1.269409034943229E-001,
9.367618628394508E+008,6.507367382461166E-001,-1.291839521486198E-001,6.507367382461166E-001,-1.291839521486198E-001,
9.563696119860154E+008,6.497237892032286E-001,-1.318836101595269E-001,6.497237892032286E-001,-1.318836101595269E-001,
9.763877790219561E+008,6.489926904943160E-001,-1.347401460071993E-001,6.489926904943160E-001,-1.347401460071993E-001,
9.968249545734922E+008,6.479466348362566E-001,-1.375676153230519E-001,6.479466348362566E-001,-1.375676153230519E-001,
1.017689909080786E+009,6.469609000622012E-001,-1.401651163553379E-001,6.469609000622012E-001,-1.401651163553379E-001,
1.038991596561701E+009,6.462567521099161E-001,-1.432381514326306E-001,6.462567521099161E-001,-1.432381514326306E-001,
1.060739158454346E+009,6.459599533635340E-001,-1.461435002457058E-001,6.459599533635340E-001,-1.461435002457058E-001,
1.082941927540042E+009,6.445459312400566E-001,-1.485220372241289E-001,6.445459312400566E-001,-1.485220372241289E-001,
1.105609431948408E+009,6.433109174954639E-001,-1.510876201418122E-001,6.433109174954639E-001,-1.510876201418122E-001,
1.128751399246275E+009,6.420770319890981E-001,-1.543086253407997E-001,6.420770319890981E-001,-1.543086253407997E-001,
1.152377760612193E+009,6.407920158282050E-001,-1.574135463843068E-001,6.407920158282050E-001,-1.574135463843068E-001,
1.176498655098304E+009,6.393763787118224E-001,-1.604698729865786E-001,6.393763787118224E-001,-1.604698729865786E-001,
1.201124433981439E+009,6.383775699928611E-001,-1.640517367055082E-001,6.383775699928611E-001,-1.640517367055082E-001,
1.226265665205275E+009,6.376266973983019E-001,-1.673278978569748E-001,6.376266973983019E-001,-1.673278978569748E-001,
1.251933137915478E+009,6.359986004504142E-001,-1.698687215603138E-001,6.359986004504142E-001,-1.698687215603138E-001,
1.278137867089775E+009,6.345287716386628E-001,-1.729732857889348E-001,6.345287716386628E-001,-1.729732857889348E-001,
1.304891098264939E+009,6.329215289649790E-001,-1.762746227546772E-001,6.329215289649790E-001,-1.762746227546772E-001,
1.332204312362714E+009,6.309836210301605E-001,-1.794184882361805E-001,6.309836210301605E-001,-1.794184882361805E-001,
