% Version 1.00
%
%freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S11,im:Trc2_S11,
1.000000000000000E+008,2.863833087508905E-001,-1.011809502642479E-002,2.863833087508905E-001,-1.011809502642479E-002,
1.020931412693436E+008,2.862449017615549E-001,-1.015885450639546E-002,2.862449017615549E-001,-1.015885450639546E-002,
1.042300949424215E+008,2.860728949360593E-001,-1.027802988518745E-002,2.860728949360593E-001,-1.027802988518745E-002,
1.064117780747374E+008,2.860651523084115E-001,-1.039689572618051E-002,2.860651523084115E-001,-1.039689572618051E-002,
1.086391269170620E+008,2.860196177347035E-001,-1.054273198560109E-002,2.860196177347035E-001,-1.054273198560109E-002,
1.109130973172177E+008,2.859207888289138E-001,-1.054539670216009E-002,2.859207888289138E-001,-1.054539670216009E-002,
1.132346651302716E+008,2.858852015750536E-001,-1.064206009566673E-002,2.858852015750536E-001,-1.064206009566673E-002,
1.156048266373163E+008,2.858419076854364E-001,-1.095400172496758E-002,2.858419076854364E-001,-1.095400172496758E-002,
1.180245989730151E+008,2.857600365310739E-001,-1.096366444609800E-002,2.857600365310739E-001,-1.096366444609800E-002,
1.204950205620966E+008,2.857559267567091E-001,-1.110865784549649E-002,2.857559267567091E-001,-1.110865784549649E-002,
1.230171515649859E+008,2.856771814619699E-001,-1.109767514933343E-002,2.856771814619699E-001,-1.109767514933343E-002,
1.255920743327636E+008,2.856615171611739E-001,-1.141256480862254E-002,2.856615171611739E-001,-1.141256480862254E-002,
1.282208938716474E+008,2.856893469203076E-001,-1.136394002967060E-002,2.856893469203076E-001,-1.136394002967060E-002,
1.309047383171961E+008,2.856293804856342E-001,-1.158949801267025E-002,2.856293804856342E-001,-1.158949801267025E-002,
1.336447594184396E+008,2.856479344533311E-001,-1.175222418717802E-002,2.856479344533311E-001,-1.175222418717802E-002,
1.364421330321420E+008,2.856035022166761E-001,-1.180541564814923E-002,2.856035022166761E-001,-1.180541564814923E-002,
1.392980596274105E+008,2.856141113758624E-001,-1.197502726769194E-002,2.856141113758624E-001,-1.197502726769194E-002,
1.422137648008667E+008,2.855618172629832E-001,-1.199914123526225E-002,2.855618172629832E-001,-1.199914123526225E-002,
1.451904998026009E+008,2.855546747731090E-001,-1.231787227466477E-002,2.855546747731090E-001,-1.231787227466477E-002,
1.482295420731354E+008,2.855458332437024E-001,-1.249126384223373E-002,2.855458332437024E-001,-1.249126384223373E-002,
1.513321957916272E+008,2.855350084118800E-001,-1.249356734292159E-002,2.855350084118800E-001,-1.249356734292159E-002,
1.544997924355456E+008,2.854587303431172E-001,-1.279863624972421E-002,2.854587303431172E-001,-1.279863624972421E-002,
1.577336913520643E+008,2.854801836269262E-001,-1.292723846696355E-002,2.854801836269262E-001,-1.292723846696355E-002,
1.610352803414134E+008,2.854433258961436E-001,-1.308719310928164E-002,2.854433258961436E-001,-1.308719310928164E-002,
1.644059762524427E+008,2.853528203108268E-001,-1.322858141782025E-002,2.853528203108268E-001,-1.322858141782025E-002,
1.678472255906498E+008,2.853915560522523E-001,-1.346197481119412E-002,2.853915560522523E-001,-1.346197481119412E-002,
1.713605051389360E+008,2.853557719825190E-001,-1.354746369798170E-002,2.853557719825190E-001,-1.354746369798170E-002,
1.749473225913547E+008,2.853305594746937E-001,-1.376346522731299E-002,2.853305594746937E-001,-1.376346522731299E-002,
1.786092172001261E+008,2.852545916122546E-001,-1.393282567363600E-002,2.852545916122546E-001,-1.393282567363600E-002,
1.823477604361935E+008,2.852593415277902E-001,-1.394459006865083E-002,2.852593415277902E-001,-1.394459006865083E-002,
1.861645566636073E+008,2.851796500199074E-001,-1.428813960089600E-002,2.851796500199074E-001,-1.428813960089600E-002,
1.900612438280239E+008,2.851473062810754E-001,-1.447304026208998E-002,2.851473062810754E-001,-1.447304026208998E-002,
1.940394941596160E+008,2.850775444364914E-001,-1.465663415817141E-002,2.850775444364914E-001,-1.465663415817141E-002,
1.981010148906965E+008,2.850009946161211E-001,-1.487203975373812E-002,2.850009946161211E-001,-1.487203975373812E-002,
2.022475489883622E+008,2.849500380428934E-001,-1.509545447364857E-002,2.849500380428934E-001,-1.509545447364857E-002,
2.064808759024735E+008,2.849183895338844E-001,-1.531158404228718E-002,2.849183895338844E-001,-1.531158404228718E-002,
2.108028123292904E+008,2.848566430027858E-001,-1.545958980702634E-002,2.848566430027858E-001,-1.545958980702634E-002,
2.152152129910917E+008,2.847521255065152E-001,-1.577322811106951E-002,2.847521255065152E-001,-1.577322811106951E-002,
2.197199714321140E+008,2.847471595338779E-001,-1.604475480109525E-002,2.847471595338779E-001,-1.604475480109525E-002,
2.243190208311496E+008,2.847223362415755E-001,-1.630231526466875E-002,2.847223362415755E-001,-1.630231526466875E-002,
2.290143348311539E+008,2.845443108386403E-001,-1.657890499930100E-002,2.845443108386403E-001,-1.657890499930100E-002,
2.338079283862175E+008,2.845275852277581E-001,-1.682730942912628E-002,2.845275852277581E-001,-1.682730942912628E-002,
2.387018586262668E+008,2.844585349478376E-001,-1.714850915684768E-002,2.844585349478376E-001,-1.714850915684768E-002,
2.436982257398635E+008,2.844588342390071E-001,-1.742609545402575E-002,2.844588342390071E-001,-1.742609545402575E-002,
2.487991738754827E+008,2.843638475774284E-001,-1.772621331446835E-002,2.843638475774284E-001,-1.772621331446835E-002,
2.540068920616564E+008,2.843186771840731E-001,-1.803048028990282E-002,2.843186771840731E-001,-1.803048028990282E-002,
2.593236151463760E+008,2.843078956207315E-001,-1.821949281030904E-002,2.843078956207315E-001,-1.821949281030904E-002,
2.647516247561587E+008,2.842102097889775E-001,-1.872121204920779E-002,2.842102097889775E-001,-1.872121204920779E-002,
2.702932502751876E+008,2.842039317619721E-001,-1.892554905587715E-002,2.842039317619721E-001,-1.892554905587715E-002,
2.759508698449477E+008,2.841232152215863E-001,-1.943372204535999E-002,2.841232152215863E-001,-1.943372204535999E-002,
2.817269113847850E+008,2.840984827034691E-001,-1.965871706857780E-002,2.840984827034691E-001,-1.965871706857780E-002,
2.876238536338270E+008,2.840600188507936E-001,-1.999721891434079E-002,2.840600188507936E-001,-1.999721891434079E-002,
2.936442272147132E+008,2.840119567614185E-001,-2.050727340421539E-002,2.840119567614185E-001,-2.050727340421539E-002,
2.997906157195895E+008,2.840320668628901E-001,-2.089863007870631E-002,2.840320668628901E-001,-2.089863007870631E-002,
3.060656568188355E+008,2.840416448080493E-001,-2.125420386793105E-002,2.840416448080493E-001,-2.125420386793105E-002,
3.124720433929982E+008,2.840563868972307E-001,-2.163740696319617E-002,2.840563868972307E-001,-2.163740696319617E-002,
3.190125246884183E+008,2.840495438584168E-001,-2.185603199973729E-002,2.840495438584168E-001,-2.185603199973729E-002,
3.256899074970465E+008,2.840534103584687E-001,-2.221777889934437E-002,2.840534103584687E-001,-2.221777889934437E-002,
3.325070573609542E+008,2.839961456966954E-001,-2.275796629515020E-002,2.839961456966954E-001,-2.275796629515020E-002,
3.394668998020564E+008,2.839819438003807E-001,-2.313692130095068E-002,2.839819438003807E-001,-2.313692130095068E-002,
3.465724215775746E+008,2.839395644230109E-001,-2.354140052656124E-002,2.839395644230109E-001,-2.354140052656124E-002,
3.538266719617783E+008,2.838864182708488E-001,-2.397666925133750E-002,2.838864182708488E-001,-2.397666925133750E-002,
3.612327640545553E+008,2.838267564036963E-001,-2.437659258469273E-002,2.838267564036963E-001,-2.437659258469273E-002,
3.687938761173719E+008,2.837259131762092E-001,-2.480513754523693E-002,2.837259131762092E-001,-2.480513754523693E-002,
3.765132529371966E+008,2.836904311130524E-001,-2.522812786227104E-002,2.836904311130524E-001,-2.522812786227104E-002,
3.843942072189731E+008,2.836262445000136E-001,-2.567519753086356E-002,2.836262445000136E-001,-2.567519753086356E-002,
3.924401210072396E+008,2.835878077896930E-001,-2.593773040418940E-002,2.835878077896930E-001,-2.593773040418940E-002,
4.006544471375042E+008,2.834570756785070E-001,-2.662989327404918E-002,2.834570756785070E-001,-2.662989327404918E-002,
4.090407107179998E+008,2.833809742972593E-001,-2.713938426160828E-002,2.833809742972593E-001,-2.713938426160828E-002,
4.176025106424546E+008,2.833112247455275E-001,-2.752754213666175E-002,2.833112247455275E-001,-2.752754213666175E-002,
4.263435211345269E+008,2.832115598438194E-001,-2.809069848602519E-002,2.832115598438194E-001,-2.809069848602519E-002,
4.352674933245664E+008,2.830925487041190E-001,-2.884859946910434E-002,2.830925487041190E-001,-2.884859946910434E-002,
4.443782568593804E+008,2.830202007458932E-001,-2.941531210878460E-002,2.830202007458932E-001,-2.941531210878460E-002,
4.536797215456938E+008,2.829523355820753E-001,-2.998589677785522E-002,2.829523355820753E-001,-2.998589677785522E-002,
4.631758790280099E+008,2.829154332560973E-001,-3.058116904102586E-002,2.829154332560973E-001,-3.058116904102586E-002,
4.728708045015902E+008,2.829063568651771E-001,-3.122574686685551E-002,2.829063568651771E-001,-3.122574686685551E-002,
4.827686584612901E+008,2.828670644461105E-001,-3.184125692646526E-002,2.828670644461105E-001,-3.184125692646526E-002,
4.928736884869999E+008,2.828774346932461E-001,-3.248461568298714E-002,2.828774346932461E-001,-3.248461568298714E-002,
5.031902310664573E+008,2.828731168912206E-001,-3.314211639751626E-002,2.828731168912206E-001,-3.314211639751626E-002,
5.137227134562149E+008,2.828115824875901E-001,-3.378226844241460E-002,2.828115824875901E-001,-3.378226844241460E-002,
5.244756555815587E+008,2.827426006195343E-001,-3.442209930295778E-002,2.827426006195343E-001,-3.442209930295778E-002,
5.354536719761968E+008,2.826968459005772E-001,-3.505314906544108E-002,2.826968459005772E-001,-3.505314906544108E-002,
5.466614737625463E+008,2.826415021883722E-001,-3.569424991875634E-002,2.826415021883722E-001,-3.569424991875634E-002,
5.581038706734722E+008,2.825346409746334E-001,-3.635445855238654E-002,2.825346409746334E-001,-3.635445855238654E-002,
5.697857731163427E+008,2.824461922538577E-001,-3.702904887873136E-002,2.824461922538577E-001,-3.702904887873136E-002,
5.817121942802894E+008,2.823311703772150E-001,-3.774000955062333E-002,2.823311703772150E-001,-3.774000955062333E-002,
5.938882522875744E+008,2.821235762495854E-001,-3.845102629760425E-002,2.821235762495854E-001,-3.845102629760425E-002,
6.063191723899891E+008,2.819136970257092E-001,-3.929791532174279E-002,2.819136970257092E-001,-3.929791532174279E-002,
6.190102892112266E+008,2.817648699456110E-001,-4.008019267149411E-002,2.817648699456110E-001,-4.008019267149411E-002,
6.319670490361900E+008,2.816511315683046E-001,-4.091252754179062E-002,2.816511315683046E-001,-4.091252754179062E-002,
6.451950121482195E+008,2.815468020257877E-001,-4.180893473499917E-002,2.815468020257877E-001,-4.180893473499917E-002,
6.586998552152404E+008,2.814951759136333E-001,-4.278319713267232E-002,2.814951759136333E-001,-4.278319713267232E-002,
6.724873737258571E+008,2.813961756244786E-001,-4.360450228797493E-002,2.813961756244786E-001,-4.360450228797493E-002,
6.865634844764381E+008,2.812643277342736E-001,-4.442588791107428E-002,2.812643277342736E-001,-4.442588791107428E-002,
7.009342281102579E+008,2.811787140523105E-001,-4.530153793123815E-002,2.811787140523105E-001,-4.530153793123815E-002,
7.156057717097888E+008,2.810705625561286E-001,-4.616311339696302E-002,2.810705625561286E-001,-4.616311339696302E-002,
7.305844114432513E+008,2.810093841749762E-001,-4.702218856090809E-002,2.810093841749762E-001,-4.702218856090809E-002,
7.458765752665610E+008,2.808140816475954E-001,-4.799756790351760E-002,2.808140816475954E-001,-4.799756790351760E-002,
7.614888256818322E+008,2.804104401929820E-001,-4.890984035761745E-002,2.804104401929820E-001,-4.890984035761745E-002,
7.774278625536187E+008,2.801458004984540E-001,-4.987730026068941E-002,2.801458004984540E-001,-4.987730026068941E-002,
7.937005259841044E+008,2.798761093874572E-001,-5.093127484161313E-002,2.798761093874572E-001,-5.093127484161313E-002,
8.103137992484750E+008,2.796450931622282E-001,-5.203244993919293E-002,2.796450931622282E-001,-5.203244993919293E-002,
8.272748117917309E+008,2.795038390926126E-001,-5.318866392031649E-002,2.795038390926126E-001,-5.318866392031649E-002,
8.445908422882283E+008,2.792918752624206E-001,-5.437693597278940E-002,2.792918752624206E-001,-5.437693597278940E-002,
8.622693217652600E+008,2.791503918367163E-001,-5.542480293262858E-002,2.791503918367163E-001,-5.542480293262858E-002,
8.803178367920179E+008,2.789996524546997E-001,-5.646746467242772E-002,2.789996524546997E-001,-5.646746467242772E-002,
8.987441327353046E+008,2.788495341081296E-001,-5.757134374619503E-002,2.788495341081296E-001,-5.757134374619503E-002,
9.175561170833916E+008,2.784692180171030E-001,-5.862911721600864E-002,2.784692180171030E-001,-5.862911721600864E-002,
9.367618628394508E+008,2.780686810994124E-001,-5.970971922627960E-002,2.780686810994124E-001,-5.970971922627960E-002,
9.563696119860154E+008,2.776303628012979E-001,-6.093029867104571E-002,2.776303628012979E-001,-6.093029867104571E-002,
9.763877790219561E+008,2.772751854585305E-001,-6.227311901149887E-002,2.772751854585305E-001,-6.227311901149887E-002,
9.968249545734922E+008,2.768226470649782E-001,-6.365993385201259E-002,2.768226470649782E-001,-6.365993385201259E-002,
1.017689909080786E+009,2.764873615447509E-001,-6.499523623176316E-002,2.764873615447509E-001,-6.499523623176316E-002,
1.038991596561701E+009,2.762623478120774E-001,-6.640397480495427E-002,2.762623478120774E-001,-6.640397480495427E-002,
1.060739158454346E+009,2.761023092498842E-001,-6.774701608357867E-002,2.761023092498842E-001,-6.774701608357867E-002,
1.082941927540042E+009,2.755365571361187E-001,-6.897330136449181E-002,2.755365571361187E-001,-6.897330136449181E-002,
1.105609431948408E+009,2.751110523281023E-001,-7.022987180190454E-002,2.751110523281023E-001,-7.022987180190454E-002,
1.128751399246275E+009,2.745739302586500E-001,-7.163751185890108E-002,2.745739302586500E-001,-7.163751185890108E-002,
1.152377760612193E+009,2.739984297889545E-001,-7.314363905432797E-002,2.739984297889545E-001,-7.314363905432797E-002,
1.176498655098304E+009,2.734541348009980E-001,-7.468723515233577E-002,2.734541348009980E-001,-7.468723515233577E-002,
1.201124433981439E+009,2.730705038499416E-001,-7.635638417738086E-002,2.730705038499416E-001,-7.635638417738086E-002,
1.226265665205275E+009,2.726994857679069E-001,-7.794637095839280E-002,2.726994857679069E-001,-7.794637095839280E-002,
